subject,predicate,object,chunk_id,doc_name
artificial intelligence,is a type of,intelligence,0,sample.txt
artificial intelligence,demonstrated by,machines,0,sample.txt
machine learning,is a subset of,ai,0,sample.txt
machine learning,enables,systems to learn from data,0,sample.txt
deep learning,is a subset of,machine learning,0,sample.txt
deep learning,uses,neural networks with many layers,0,sample.txt
neural networks,are inspired by,human brain,0,sample.txt
neural networks,consist of,interconnected nodes,0,sample.txt
natural language processing,is a field of,ai,0,sample.txt
natural language processing,focused on,interaction between computers and human language,0,sample.txt
large language models,are a type of,neural network,0,sample.txt
large language models,trained on,massive text datasets,0,sample.txt
transformers,are the architecture behind,most modern llms,0,sample.txt
transformers,introduced by,google researchers,0,sample.txt
reinforcement learning,is a type of,machine learning,0,sample.txt
reinforcement learning,where an agent learns by,interacting with an environment,0,sample.txt
computer vision,is a field of,ai,0,sample.txt
ontologies,define,concepts and relationships within a knowledge domain,0,sample.txt
embeddings,are dense vector representations of,"words, sentences, or entities in a high-dimensional space",0,sample.txt
gradient descent,is an optimization algorithm,used to train machine learning models,0,sample.txt
backpropagation,is the algorithm,used to compute gradients in neural networks,0,sample.txt
artificial\ intelligence,co-occurs with,ai,0,sample.txt
artificial\ intelligence,co-occurs with,machine\ learning,0,sample.txt
artificial\ intelligence,co-occurs with,subset,0,sample.txt
artificial\ intelligence,co-occurs with,deep\ learning,0,sample.txt
artificial\ intelligence,co-occurs with,neural\ networks,0,sample.txt
artificial\ intelligence,co-occurs with,nodes,0,sample.txt
artificial\ intelligence,co-occurs with,natural\ language\ processing,0,sample.txt
artificial\ intelligence,co-occurs with,nlp,0,sample.txt
artificial\ intelligence,co-occurs with,large\ language\ models,0,sample.txt
artificial\ intelligence,co-occurs with,llms,0,sample.txt
artificial\ intelligence,co-occurs with,transformers,0,sample.txt
artificial\ intelligence,co-occurs with,reinforcement\ learning,0,sample.txt
artificial\ intelligence,co-occurs with,computer\ vision,0,sample.txt
artificial\ intelligence,co-occurs with,knowledge\ graphs,0,sample.txt
artificial\ intelligence,co-occurs with,ontologies,0,sample.txt
artificial\ intelligence,co-occurs with,embeddings,0,sample.txt
artificial\ intelligence,co-occurs with,gradients,0,sample.txt
artificial\ intelligence,co-occurs with,descent,0,sample.txt
artificial\ intelligence,co-occurs with,optimization,0,sample.txt
artificial\ intelligence,co-occurs with,algorithm,0,sample.txt
artificial\ intelligence,co-occurs with,backpropagation,0,sample.txt
artificial\ intelligence,co-occurs with,transfer\ learning,0,sample.txt
ai,co-occurs with,machine\ learning,0,sample.txt
ai,co-occurs with,subset,0,sample.txt
ai,co-occurs with,deep\ learning,0,sample.txt
ai,co-occurs with,neural\ networks,0,sample.txt
ai,co-occurs with,nodes,0,sample.txt
ai,co-occurs with,natural\ language\ processing,0,sample.txt
ai,co-occurs with,nlp,0,sample.txt
ai,co-occurs with,large\ language\ models,0,sample.txt
ai,co-occurs with,llms,0,sample.txt
ai,co-occurs with,transformers,0,sample.txt
ai,co-occurs with,reinforcement\ learning,0,sample.txt
ai,co-occurs with,computer\ vision,0,sample.txt
ai,co-occurs with,knowledge\ graphs,0,sample.txt
ai,co-occurs with,ontologies,0,sample.txt
ai,co-occurs with,embeddings,0,sample.txt
ai,co-occurs with,gradients,0,sample.txt
ai,co-occurs with,descent,0,sample.txt
ai,co-occurs with,optimization,0,sample.txt
ai,co-occurs with,algorithm,0,sample.txt
ai,co-occurs with,backpropagation,0,sample.txt
ai,co-occurs with,transfer\ learning,0,sample.txt
machine\ learning,co-occurs with,subset,0,sample.txt
machine\ learning,co-occurs with,deep\ learning,0,sample.txt
machine\ learning,co-occurs with,neural\ networks,0,sample.txt
machine\ learning,co-occurs with,nodes,0,sample.txt
machine\ learning,co-occurs with,natural\ language\ processing,0,sample.txt
